epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8473.57,0.75877,0.49053,1.05279,0.87827,0.70626,0.79003,0.55707,1.21147,0.86552,1.39455,0.005842,0.005842,0.005842
44,8664.6,0.75724,0.48846,1.05286,0.8931,0.69364,0.79051,0.57553,1.17556,0.82456,1.37321,0.005743,0.005743,0.005743
45,8877.33,0.74792,0.48438,1.04602,0.85064,0.72438,0.79793,0.57961,1.17767,0.82864,1.36217,0.005644,0.005644,0.005644
46,9089.3,0.74901,0.48294,1.04484,0.85588,0.7242,0.79693,0.57312,1.17055,0.8237,1.36454,0.005545,0.005545,0.005545
47,9283.18,0.73711,0.47501,1.03629,0.84814,0.74497,0.80704,0.57253,1.17932,0.80653,1.36322,0.005446,0.005446,0.005446
48,9475.54,0.73357,0.47465,1.03788,0.87752,0.72731,0.80545,0.58738,1.13843,0.76924,1.34758,0.005347,0.005347,0.005347
49,9667.47,0.72885,0.46623,1.02996,0.88811,0.73103,0.80407,0.58935,1.13601,0.75543,1.33315,0.005248,0.005248,0.005248
50,9861.4,0.729,0.46592,1.03186,0.8744,0.72407,0.80573,0.58413,1.16757,0.78149,1.36042,0.005149,0.005149,0.005149
51,10054.9,0.72056,0.46079,1.02901,0.90591,0.7088,0.80756,0.59412,1.14023,0.77277,1.33878,0.00505,0.00505,0.00505
52,10248.1,0.71646,0.45756,1.02402,0.91555,0.72276,0.80698,0.575,1.17512,0.78029,1.34456,0.004951,0.004951,0.004951
53,10443,0.71465,0.45621,1.02267,0.93683,0.72087,0.8122,0.59216,1.14151,0.76896,1.32353,0.004852,0.004852,0.004852
54,10638.9,0.71159,0.452,1.01875,0.87978,0.74135,0.81295,0.59618,1.16101,0.77653,1.35061,0.004753,0.004753,0.004753
55,10845.3,0.7063,0.44923,1.01987,0.91104,0.72979,0.81768,0.60296,1.13121,0.75478,1.33673,0.004654,0.004654,0.004654
56,11057.4,0.70566,0.44879,1.01728,0.92748,0.72411,0.82274,0.59725,1.12804,0.72871,1.32823,0.004555,0.004555,0.004555
57,11254.5,0.70194,0.44674,1.01424,0.89844,0.74632,0.82028,0.60163,1.12291,0.72647,1.33423,0.004456,0.004456,0.004456
58,11450.8,0.69343,0.43973,1.00787,0.93138,0.72576,0.81653,0.59765,1.12032,0.74218,1.317,0.004357,0.004357,0.004357
59,11642.9,0.69409,0.43896,1.0103,0.91834,0.73269,0.8213,0.60135,1.1273,0.75895,1.31867,0.004258,0.004258,0.004258
60,11836.6,0.6884,0.43852,1.00812,0.90797,0.74432,0.8192,0.59895,1.11276,0.73066,1.31512,0.004159,0.004159,0.004159
61,12035.4,0.68532,0.43353,1.005,0.92908,0.73469,0.81793,0.60038,1.12164,0.7246,1.31962,0.00406,0.00406,0.00406
62,12228.1,0.68023,0.43032,0.99958,0.89724,0.75998,0.82762,0.6061,1.12491,0.74001,1.31709,0.003961,0.003961,0.003961
