epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7845.21,0.62075,0.38573,0.89174,0.89372,0.75212,0.82123,0.61271,1.09626,0.66504,1.09262,0.005842,0.005842,0.005842
44,8026.68,0.61875,0.38405,0.88944,0.89248,0.7614,0.82135,0.6058,1.06892,0.65098,1.07841,0.005743,0.005743,0.005743
45,8208.21,0.61508,0.37971,0.88947,0.91822,0.76747,0.8338,0.62853,1.05161,0.64163,1.0806,0.005644,0.005644,0.005644
46,8390.26,0.61318,0.37848,0.88657,0.9183,0.77039,0.83905,0.6341,1.0447,0.64147,1.0689,0.005545,0.005545,0.005545
47,8574.6,0.60206,0.37269,0.88274,0.9157,0.7604,0.83347,0.61834,1.07184,0.64291,1.07173,0.005446,0.005446,0.005446
48,8757.55,0.59871,0.37148,0.88401,0.94041,0.75727,0.83811,0.61762,1.04642,0.63458,1.07439,0.005347,0.005347,0.005347
49,8939.45,0.59674,0.36765,0.88025,0.939,0.76617,0.84207,0.63192,1.03909,0.6361,1.0654,0.005248,0.005248,0.005248
50,9121.09,0.59487,0.36733,0.87972,0.94728,0.76006,0.84142,0.62859,1.04588,0.63459,1.07155,0.005149,0.005149,0.005149
51,9304.13,0.58786,0.36435,0.87927,0.93849,0.75204,0.83333,0.62897,1.01686,0.6155,1.05028,0.00505,0.00505,0.00505
52,9485.64,0.58322,0.35944,0.87697,0.93695,0.75282,0.83383,0.62222,1.0317,0.63805,1.06997,0.004951,0.004951,0.004951
53,9669.74,0.58153,0.36004,0.87566,0.92611,0.7722,0.84451,0.6329,1.04176,0.63696,1.07437,0.004852,0.004852,0.004852
54,9851.5,0.57892,0.35642,0.87413,0.91551,0.76359,0.8351,0.63281,1.00876,0.61227,1.05193,0.004753,0.004753,0.004753
55,10035,0.57565,0.35485,0.87532,0.92182,0.77045,0.84549,0.6485,1.01207,0.61582,1.06193,0.004654,0.004654,0.004654
56,10219.5,0.57298,0.35287,0.87165,0.91586,0.77701,0.83893,0.63503,1.02451,0.61897,1.06282,0.004555,0.004555,0.004555
57,10401.1,0.56991,0.34943,0.87129,0.91167,0.77513,0.84047,0.63977,1.00497,0.61284,1.05252,0.004456,0.004456,0.004456
58,10582.4,0.56325,0.34638,0.86673,0.92345,0.76133,0.83812,0.63524,1.0145,0.60978,1.05415,0.004357,0.004357,0.004357
59,10763.8,0.56203,0.34548,0.86951,0.93566,0.76736,0.84386,0.64118,1.02277,0.60386,1.05191,0.004258,0.004258,0.004258
60,10945,0.5572,0.34405,0.86798,0.93568,0.76292,0.83365,0.63546,1.01267,0.60972,1.05483,0.004159,0.004159,0.004159
61,11126.3,0.55266,0.33937,0.86621,0.92163,0.76764,0.83554,0.64392,0.98904,0.60065,1.04653,0.00406,0.00406,0.00406
62,11307.5,0.54928,0.33561,0.86333,0.92167,0.77268,0.83642,0.64017,1.00718,0.60191,1.05385,0.003961,0.003961,0.003961
